sponsor,effective_date,call_type,operator_tadig,operator_name,country_name,bparty_iso,bparty_prefix,bparty_name,currency,setup_charge,traffic_interval_1,traffic_interval_n,traffic_interval_unit,traffic_charge_1,traffic_charge_n,traffic_charge_unit
TELZ4,2023-11-01,VOICE_MO,BLRMD,Unitary enterprise A1,Belarus,,"44",United Kingdom,GBP,,1,1,seconds,0.38502391000000000000,0.38502391000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BMU01,Wireless Maritime Services,Maritime,,"44",United Kingdom,GBP,,60,60,seconds,2.9487194850000000,2.9487194850000000,minutes
TELZ4,2023-11-01,VOICE_MO,BMUBD,Bermuda Digital Communications Ltd.,Bermuda,,"44",United Kingdom,GBP,,1,1,seconds,1.05177252000000000000,1.05177252000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BOLTE,Telefonica Celular de Bolivia S.A. (Telecel S.A.),Bolivia,,"44",United Kingdom,GBP,,60,60,seconds,1.40862396000000000000,1.40862396000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRACL,Claro S.A.,Brazil,,"44",United Kingdom,GBP,,60,60,seconds,1.45557811500000000000,1.45557811500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRACS,TIM S.A.,Brazil,,"44",United Kingdom - Jersey,GBP,,60,60,seconds,1.77486618500000000000,1.77486618500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRARN,TIM S.A.,Brazil,,"44",United Kingdom - Jersey,GBP,,60,60,seconds,1.77486618500000000000,1.77486618500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRASP,TIM S.A.,Brazil,,"44",United Kingdom - Jersey,GBP,,60,60,seconds,1.77486618500000000000,1.77486618500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRBCW,Cable & Wireless Barbados Ltd.,Barbados,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.28172481500000000000,0.28172481500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,BRNDS,Unified National Network Sdn Bhd,Brunei,,"44",United Kingdom,GBP,,60,60,seconds,2.3363812850000000,2.3363812850000000,minutes
TELZ4,2023-11-01,VOICE_MO,CANBM,Bell Mobility Inc.,Canada,,"44",United Kingdom,GBP,,1,1,seconds,0.21692806330000000000,0.21692806330000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CANRW,Rogers Communications Canada Inc.,Canada,,"44",United Kingdom,GBP,,60,60,seconds,0.37563301000000000000,0.37563301000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CANST,SaskTel,Canada,,"44",United Kingdom,GBP,,60,60,seconds,1.34993116280000000000,1.34993116280000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CANTS,TELUS Communications Inc.,Canada,,"44",United Kingdom,GBP,,1,1,seconds,0.21598898080000000000,0.21598898080000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHEC1,Swisscom (Switzerland) Ltd,Switzerland,,"44",United Kingdom,GBP,,1,1,seconds,0.36399386000000000000,0.36399386000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHEDX,Sunrise GmbH,Switzerland,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.07290229500000000000,0.07290229500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHEOA,SITA Switzerland Sarl,Aeronautical,,"44",United Kingdom,GBP,,60,60,seconds,1.79971895000000000000,1.79971895000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHEOR,Salt.Mobile SA,Switzerland,,"44",United Kingdom - Premium Rate,GBP,,1,1,seconds,5.1777223950000000,5.1777223950000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHLMV,Entel PCS Telecommunicaciones S.A. Chile,Chile,,"44",United Kingdom,GBP,,1,1,seconds,0.37563301000000000000,0.37563301000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHLSM,Claro Chile SA,Chile,,"44",United Kingdom,GBP,,60,60,seconds,2.0190276300000000,2.0190276300000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHNCT,China Mobile,China,,"44",United Kingdom,GBP,,60,60,seconds,0.22471839500000000000,0.22471839500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CHNCU,China Unicom,China,,"44",United Kingdom,GBP,,60,60,seconds,0.33727050500000000000,0.33727050500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CIVTL,MTN Cote dIvoire S.A.,Côte d’Ivoire,,"44",United Kingdom,GBP,,60,60,seconds,1.61875495000000000000,1.61875495000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CODAC,Africell RDC SA.,Congo - Kinshasa,,"44",United Kingdom,GBP,,60,60,seconds,2.0660343676000000,2.0660343676000000,minutes
TELZ4,2023-11-01,VOICE_MO,CODVC,Vodacom Congo (RDC) S.A.,Congo - Kinshasa,,"44",United Kingdom,GBP,,60,60,seconds,2.4481320129000000,2.4481320129000000,minutes
TELZ4,2023-11-01,VOICE_MO,COLCO,Colombia Movil S.A. (Tigo),Colombia,,"44",United Kingdom,GBP,,60,60,seconds,1.59644046500000000000,1.59644046500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CPVCV,CVMovel S.A.,Cape Verde,,"44",United Kingdom,GBP,,60,60,seconds,2.4996096400000000,2.4996096400000000,minutes
TELZ4,2023-11-01,VOICE_MO,CPVK9,T+ Telecomunicacoes,Cape Verde,,"44",United Kingdom,GBP,,60,30,seconds,3.3494768900000000,3.3494768900000000,minutes
TELZ4,2023-11-01,VOICE_MO,CRICL,Claro CR Telecomunicaciones S.A.,Costa Rica,,"44",United Kingdom,GBP,,60,60,seconds,2.1598900950000000,2.1598900950000000,minutes
TELZ4,2023-11-01,VOICE_MO,CRICR,I.C.E. (Instituto Costarricense de Electricidad),Costa Rica,,"44",United Kingdom,GBP,,60,60,seconds,1.27339616380000000000,1.27339616380000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CUB01,CUBACEL,Cuba,,"44",United Kingdom,GBP,0.9390826400,1,1,seconds,1.87816528000000000000,1.87816528000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CYMCW,Cable & Wireless (Cayman Islands) Ltd.,Cayman Islands,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.28172481500000000000,0.28172481500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CYPCT,Cyprus Telecommunications Authority (CYTA),Cyprus,,"44",United Kingdom,GBP,,1,1,seconds,0.29745360190000000000,0.29745360190000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CYPPT,PrimeTel,Cyprus,,"44",United Kingdom,GBP,,1,1,seconds,0.26175915330000000000,0.26175915330000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CYPSC,MTN Cyprus Ltd,Cyprus,,"44","United Kingdom - UNITED KINGDOM (44701511) [+GBR] [CFLCT: GBR,GBR]",GBP,,1,1,seconds,1.49976571500000000000,1.49976571500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CZECM,Vodafone Czech Republic a.s.,Czech Republic,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.02122037500000000000,0.02122037500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CZEET,O2 Czech Republic a.s.,Czech Republic,,"44",United Kingdom - UNITED KINGDOM (447781*) [CFLCT: GBR],GBP,,1,1,seconds,0.19996878500000000000,0.19996878500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,CZERM,T-Mobile Czech Republic a.s.,Czech Republic,,"44",United Kingdom,GBP,,1,1,seconds,0.13497895000000000000,0.13497895000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DEUD1,Telekom Deutschland GmbH,Germany,,"44",United Kingdom,GBP,,1,1,seconds,0.13497895000000000000,0.13497895000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DEUD2,Vodafone GmbH,Germany,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.19996878500000000000,0.19996878500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DEUE2,Telefonica Germany GmbH & Co. OHG,Germany,,"44",United Kingdom,GBP,,1,1,seconds,0.04999222500000000000,0.04999222500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DMACW,Cable & Wireless Dominica Ltd.,Dominica,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.32398353730000000000,0.32398353730000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DNKDM,Telenor A/S,Denmark,,"44",United Kingdom,GBP,,1,1,seconds,0.06003897000000000000,0.06003897000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DNKHU,Hi3G Denmark Aps,Denmark,,"44",United Kingdom,GBP,,1,1,seconds,0.23996256500000000000,0.23996256500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DNKIA,Telia Danmark,Denmark,,"44",United Kingdom,GBP,,1,1,seconds,0.15014250500000000000,0.15014250500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DNKTD,Nuuday A/S,Denmark,,"44",United Kingdom,GBP,,1,1,seconds,0.02497719500000000000,0.02497719500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DOM01,Altice Dominicana S.A.,Dominican Republic,,"44",United Kingdom,GBP,,60,60,seconds,1.31471565000000000000,1.31471565000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,DZAA1,Algerie Telecom Mobile (ATM),Algeria,,"44",United Kingdom,GBP,,60,30,seconds,1.64974239000000000000,1.64974239000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ECUPG,Conecel S.A.,Ecuador,,"44",United Kingdom,GBP,,60,60,seconds,2.5918680450000000,2.5918680450000000,minutes
TELZ4,2023-11-01,VOICE_MO,EGYAR,Orange Egypt,Egypt,,"44",United Kingdom,GBP,,1,1,seconds,0.24620156810000000000,0.24620156810000000000,minutes
TELZ4,2023-11-01,VOICE_MO,EGYEM,Etisalat - Misr,Egypt,,"44",United Kingdom,GBP,,60,60,seconds,4.3085270876000000,4.3085270876000000,minutes
TELZ4,2023-11-01,VOICE_MO,EGYMS,Vodafone Egypt Telecommunications S.A.E,Egypt,,"44",United Kingdom,GBP,,60,60,seconds,3.4994534500000000,3.4994534500000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESPAT,Vodafone Espana S.A.U. (Spain),Spain,,"44",United Kingdom,GBP,,1,1,seconds,0.01999689000000000000,0.01999689000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESPRT,"Orange Espagne, S.A., sociedad unipersonal",Spain,,"44","United Kingdom - UNITED KINGDOM (447781*) [CFLCT: GBR,GBR]",GBP,,60,60,seconds,0.09998433500000000000,0.09998433500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESPTE,Telefonica Moviles Espana S.A.,Spain,,"44",United Kingdom,GBP,,1,1,seconds,0.02999533500000000000,0.02999533500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESTEM,Telia Eesti AS,Estonia,,"44",United Kingdom,GBP,,1,1,seconds,0.14997656000000000000,0.14997656000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESTRB,Tele2 Eesti AS,Estonia,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.09998433500000000000,0.09998433500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ESTRE,Elisa Eesti AS,Estonia,,"44",United Kingdom,GBP,,1,1,seconds,0.33994690000000000000,0.33994690000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FIN2G,DNA Finland Ltd.,Finland,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.11998122500000000000,0.11998122500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FINRL,Elisa,Finland,,"44",United Kingdom,GBP,,1,1,seconds,0.33994690000000000000,0.33994690000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FINTF,Telia Finland Oyj,Finland,,"44",United Kingdom,GBP,,1,1,seconds,0.14997656000000000000,0.14997656000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FJIDP,Digicel Fiji Ltd.,Fiji,,"44",United Kingdom,GBP,,60,60,seconds,1.22080743200000000000,1.22080743200000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FJIVF,Vodafone Fiji Pte Limited,Fiji,,"44",United Kingdom,GBP,,60,60,seconds,9.0485358747000000,9.0485358747000000,minutes
TELZ4,2023-11-01,VOICE_MO,FLKCW,Sure South Atlantic Limited,Falkland Islands,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.17250000000000000000,0.17250000000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FRAF1,Orange,France,,"44",United Kingdom,GBP,,1,1,seconds,0.09998433500000000000,0.09998433500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FRAF2,SFR - CEGETEL,France,,"44",United Kingdom - UNITED KINGDOM (447781*) [CFLCT: GBR],GBP,,1,1,seconds,0.19996878500000000000,0.19996878500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,FRAF3,Bouygues Telecom,France,,"44",United Kingdom,GBP,,1,1,seconds,0.14997656000000000000,0.14997656000000000000,minutes
